ID,NumAff,NumImm,IDPeriode,MontantDeclaration
1,AFF0265,IMM00340,202309,5282.41
2,AFF0467,IMM03102,202410,2812.9
3,AFF0143,IMM01655,202403,2458.75
4,AFF0042,IMM01413,202402,-3101.56
5,AFF0027,IMM05571,202404,-3029.77
6,AFF0153,IMM02021,202404,897.8
7,AFF0320,IMM08179,202408,-5240.57
8,AFF0292,IMM01448,202305,-8604.69
9,AFF0265,IMM07466,202402,3629.65
10,AFF0313,IMM07873,202309,-2946.98
11,AFF0042,IMM07821,202306,-7170.3
12,AFF0259,IMM09105,202306,6929.56
13,AFF0246,IMM04656,202409,-6593.86
14,AFF0488,IMM01966,202305,-2674.72
15,AFF0310,IMM03030,202302,2209.95
16,AFF0295,IMM02729,202404,2536.67
17,AFF0069,IMM01713,202309,-1528.96
18,AFF0138,IMM08272,202312,5544.41
19,AFF0194,IMM07039,202306,5827.78
20,AFF0173,IMM06879,202405,-7845.32
21,AFF0327,IMM03094,202407,-6086.03
22,AFF0177,IMM03036,202408,9346.33
23,AFF0378,IMM05973,202404,-8775.02
24,AFF0460,IMM03845,202303,-8418.7
25,AFF0363,IMM07823,202401,6658.23
26,AFF0378,IMM09211,202401,2431.37
27,AFF0371,IMM00357,202301,5936.88
28,AFF0317,IMM00018,202412,3534.88
29,AFF0208,IMM04574,202301,1900.94
30,AFF0040,IMM08512,202401,-4015.83
31,AFF0211,IMM08542,202309,5911.63
32,AFF0261,IMM02276,202409,-6414.72
33,AFF0034,IMM09507,202412,6292.1
34,AFF0308,IMM07262,202405,-5367.38
35,AFF0132,IMM09254,202405,-9648.61
36,AFF0175,IMM03801,202304,1084.75
37,AFF0366,IMM02318,202303,-5677.82
38,AFF0131,IMM02293,202408,-6296.63
39,AFF0162,IMM06767,202406,6733.9
40,AFF0406,IMM02942,202409,-9803.62
41,AFF0389,IMM05757,202402,8733.24
42,AFF0106,IMM00478,202306,-8198.12
43,AFF0330,IMM03589,202405,9237.6
44,AFF0007,IMM03627,202401,-473.78
45,AFF0406,IMM08528,202411,9268.35
46,AFF0010,IMM09285,202311,5767.31
47,AFF0188,IMM02637,202311,5536.8
48,AFF0256,IMM07135,202408,6510.86
49,AFF0490,IMM05353,202407,-4415.15
50,AFF0326,IMM01793,202312,-577.01
51,AFF0199,IMM02381,202406,-879.99
52,AFF0092,IMM07148,202407,2763.19
53,AFF0272,IMM04657,202310,6677.21
54,AFF0188,IMM05194,202307,-6783.07
55,AFF0031,IMM09980,202309,7295.26
56,AFF0049,IMM00752,202309,-9173.26
57,AFF0408,IMM05354,202402,-8616.69
58,AFF0229,IMM06547,202408,2500.21
59,AFF0314,IMM02199,202401,164.64
60,AFF0277,IMM09392,202307,-7311.51
61,AFF0288,IMM09523,202303,6008.79
62,AFF0124,IMM06478,202407,-2546.66
63,AFF0387,IMM01949,202312,-2254.58
64,AFF0391,IMM07523,202411,-8531.41
65,AFF0305,IMM08729,202402,-3697.96
66,AFF0266,IMM04245,202411,-2095.04
67,AFF0206,IMM05784,202402,-3230.04
68,AFF0318,IMM02203,202307,-3634.17
69,AFF0203,IMM07933,202308,5671.22
70,AFF0340,IMM04362,202403,9072.53
71,AFF0327,IMM01038,202408,406.77
72,AFF0163,IMM00579,202312,4142.57
73,AFF0097,IMM03019,202311,1457.26
74,AFF0160,IMM08434,202301,-7535.27
75,AFF0124,IMM02099,202407,937.52
76,AFF0153,IMM07612,202311,2265.86
77,AFF0049,IMM02649,202408,4907.88
78,AFF0163,IMM09815,202410,-1672.37
79,AFF0034,IMM01015,202408,6870.68
80,AFF0107,IMM04408,202405,-4713.95
81,AFF0221,IMM05969,202308,5793.9
82,AFF0156,IMM02862,202306,6201.17
83,AFF0478,IMM07048,202311,1736.08
84,AFF0301,IMM00750,202303,-9279.16
85,AFF0419,IMM02842,202311,8188.51
86,AFF0449,IMM09423,202402,-6709.3
87,AFF0477,IMM08838,202304,-8079.63
88,AFF0267,IMM03586,202410,6947.79
89,AFF0224,IMM03129,202409,-9408.91
90,AFF0462,IMM02964,202310,-4353.71
91,AFF0469,IMM05296,202404,2510.07
92,AFF0001,IMM09650,202302,-5427.66
93,AFF0020,IMM05895,202406,-5842.92
94,AFF0006,IMM07949,202407,-3268.59
95,AFF0106,IMM08486,202304,-7275.51
96,AFF0325,IMM04813,202311,-3495.33
97,AFF0428,IMM00526,202412,-1966.33
98,AFF0201,IMM01467,202408,-8389.84
99,AFF0470,IMM02895,202301,-624.79
100,AFF0085,IMM05992,202303,-1084.91
101,AFF0060,IMM02320,202301,8322.92
102,AFF0296,IMM09320,202411,930.96
103,AFF0290,IMM00077,202310,7749.34
104,AFF0315,IMM01481,202310,-7144.75
105,AFF0372,IMM00383,202410,-2769.41
106,AFF0238,IMM09848,202405,-6430.81
107,AFF0345,IMM05818,202412,-2171.14
108,AFF0435,IMM02479,202402,-8976.42
109,AFF0303,IMM01382,202408,-2919.62
110,AFF0464,IMM09131,202302,3185.56
111,AFF0425,IMM00178,202306,-577.09
112,AFF0481,IMM03254,202410,-4248.48
113,AFF0384,IMM01996,202305,-2262.72
114,AFF0441,IMM03957,202402,6586.61
115,AFF0277,IMM03958,202411,-5699.11
